customerID,tenure,MonthlyCharges,TotalCharges,gender,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Churn
CUST00001,1.0231739673846825,29.685946986350185,57.06086783784782,Female,Yes,No,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,No
CUST00002,34.312756742539484,57.13167125202683,1898.332645004923,Male,No,No,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,No
CUST00003,2.3228308672591007,53.642423050627485,143.71063646232267,Male,No,No,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,Yes
CUST00004,45.18881808811241,42.24190248953615,1842.470909575403,Male,No,No,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),No
CUST00005,1.8884964732183374,71.03045233524145,197.0125114964048,Female,No,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,Yes
CUST00006,8.044075222879666,99.59499783882491,825.6098985453756,Female,No,No,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,Yes
CUST00007,22.20409641707785,89.4450866474878,1966.5777238686,Male,No,Yes,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),No
CUST00008,9.937128744330797,30.258323985717215,267.1428250125535,Female,No,No,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,No
CUST00009,27.73679239839897,104.95987726662783,3056.0499303950533,Female,Yes,No,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,Yes
CUST00010,61.8693530632325,56.25686805694354,3480.0822665061473,Male,No,Yes,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),No
CUST00011,13.157573661966225,50.09953310958882,620.8951511831783,Male,Yes,Yes,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,No
CUST00012,15.838903436561377,18.747194039819163,309.36544276453355,Male,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),No
CUST00013,57.93725703281992,100.0404825887627,5657.319732462983,Male,Yes,No,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),No
CUST00014,49.18356197888146,103.35881568219132,5060.343586040566,Male,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),Yes
CUST00015,25.08562006028741,105.40901527874026,2661.6126881601344,Male,No,No,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,No
CUST00016,68.53765552536133,112.79956707931287,7874.732299497641,Female,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),No
CUST00017,51.81120715614742,20.96723750072174,1011.6523645744323,Female,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,No
CUST00018,71.49389690823217,106.23081182632045,7343.920826594874,Male,No,Yes,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),No
